date,n_total,n_tanker
2020-10-07,93,59
2020-10-08,107,61
2020-10-09,90,53
2020-10-10,88,50
2020-10-11,77,41
2020-10-12,75,45
2020-10-13,72,41
2020-10-14,61,40
2020-10-15,100,68
2020-10-16,76,47
2020-10-17,84,47
2020-10-18,80,58
2020-10-19,80,44
2020-10-20,89,51
2020-10-21,92,60
2020-10-22,83,52
2020-10-23,107,59
2020-10-24,99,63
2020-10-25,76,46
2020-10-26,102,60
2020-10-27,93,57
2020-10-28,87,53
2020-10-29,74,41
2020-10-30,91,59
2020-10-31,87,44
2020-11-01,94,56
2020-11-02,88,58
2020-11-03,76,50
2020-11-04,87,49
2020-11-05,90,49
2020-11-06,70,43
2020-11-07,79,48
2020-11-08,71,50
2020-11-09,70,44
2020-11-10,94,61
2020-11-11,91,55
2020-11-12,78,52
2020-11-13,62,39
2020-11-14,58,35
2020-11-15,59,35
2020-11-16,59,33
2020-11-17,67,43
2020-11-18,66,43
2020-11-19,69,41
2020-11-20,69,36
2020-11-21,69,42
2020-11-22,68,41
2020-11-23,57,35
2020-11-24,60,31
2020-11-25,76,49
2020-11-26,58,37
2020-11-27,78,49
2020-11-28,71,49
2020-11-29,58,38
2020-11-30,67,40
2020-12-01,69,37
2020-12-02,86,55
2020-12-03,93,63
2020-12-04,83,53
2020-12-05,73,49
2020-12-06,50,30
2020-12-07,66,49
2020-12-08,63,34
2020-12-09,62,40
2020-12-10,63,37
2020-12-11,67,46
2020-12-12,58,39
2020-12-13,65,38
2020-12-14,65,42
2020-12-15,64,34
2020-12-16,71,36
2020-12-17,65,48
2020-12-18,59,33
2020-12-19,65,37
2020-12-20,69,43
2020-12-21,63,41
2020-12-22,57,38
2020-12-23,72,43
2020-12-24,64,41
2020-12-25,74,40
2020-12-26,70,54
2020-12-27,60,41
2020-12-28,66,34
2020-12-29,63,43
2020-12-30,85,52
2020-12-31,71,42
2021-01-01,71,42
2021-01-02,78,44
2021-01-03,72,49
2021-01-04,64,41
2021-01-05,78,51
2021-01-06,79,50
2021-01-07,63,41
2021-01-08,61,35
2021-01-09,67,44
2021-01-10,53,37
2021-01-11,70,42
2021-01-12,66,39
2021-01-13,66,38
2021-01-14,69,43
2021-01-15,84,51
2021-01-16,77,47
2021-01-17,71,49
2021-01-18,91,51
2021-01-19,116,58
2021-01-20,86,57
2021-01-21,84,52
2021-01-22,61,33
2021-01-23,59,38
2021-01-24,50,30
2021-01-25,72,52
2021-01-26,71,44
2021-01-27,98,67
2021-01-28,70,49
2021-01-29,93,52
2021-01-30,74,40
2021-01-31,83,52
2021-02-01,70,37
2021-02-02,60,36
2021-02-03,81,58
2021-02-04,86,55
2021-02-05,76,48
2021-02-06,70,46
2021-02-07,60,41
2021-02-08,63,42
2021-02-09,76,56
2021-02-10,71,38
2021-02-11,84,44
2021-02-12,88,61
2021-02-13,77,48
2021-02-14,81,55
2021-02-15,101,64
2021-02-16,77,43
2021-02-17,82,46
2021-02-18,74,44
2021-02-19,77,45
2021-02-20,73,43
2021-02-21,53,29
2021-02-22,71,42
2021-02-23,79,49
2021-02-24,69,44
2021-02-25,74,50
2021-02-26,63,40
2021-02-27,72,45
2021-02-28,50,26
2021-03-01,77,47
2021-03-02,75,40
2021-03-03,83,48
2021-03-04,73,51
2021-03-05,68,40
2021-03-06,75,39
2021-03-07,49,32
2021-03-08,82,47
2021-03-09,90,53
2021-03-10,57,39
2021-03-11,87,60
2021-03-12,71,46
2021-03-13,63,37
2021-03-14,62,42
